domain,domain_input_path,source_files_read,forbidden_artifact_used
bandits,[MAIN_PAPER_RUN_NAMESPACE]/baselines/moose_star_public_models_20260726_005146/configs/domain_inputs/bandits.json,[MAIN_SGHA_BANDITS_RUN]/arxiv/query.json; [MAIN_SGHA_BANDITS_RUN]/arxiv/papers_manifest.json,False
in_context_learning,[MAIN_PAPER_RUN_NAMESPACE]/baselines/moose_star_public_models_20260726_005146/configs/domain_inputs/in_context_learning.json,[MAIN_SGHA_IN_CONTEXT_LEARNING_RUN]/arxiv/query.json; [MAIN_SGHA_IN_CONTEXT_LEARNING_RUN]/arxiv/papers_manifest.json,False
reasoning_models_test_time_compute,[MAIN_PAPER_RUN_NAMESPACE]/baselines/moose_star_public_models_20260726_005146/configs/domain_inputs/reasoning_models_test_time_compute.json,[MAIN_SGHA_REASONING_MODELS_TEST_TIME_COMPUTE_RUN]/arxiv/query.json; [MAIN_SGHA_REASONING_MODELS_TEST_TIME_COMPUTE_RUN]/arxiv/papers_manifest.json,False
offline_reinforcement_learning_arxiv,[MAIN_PAPER_RUN_NAMESPACE]/baselines/moose_star_public_models_20260726_005146/configs/domain_inputs/offline_reinforcement_learning_arxiv.json,[MAIN_SGHA_OFFLINE_REINFORCEMENT_LEARNING_ARXIV_RUN]/arxiv/query.json; [MAIN_SGHA_OFFLINE_REINFORCEMENT_LEARNING_ARXIV_RUN]/arxiv/papers_manifest.json,False
uncertainty_calibration_conformal_prediction_arxiv,[MAIN_PAPER_RUN_NAMESPACE]/baselines/moose_star_public_models_20260726_005146/configs/domain_inputs/uncertainty_calibration_conformal_prediction_arxiv.json,[MAIN_SGHA_UNCERTAINTY_CALIBRATION_CONFORMAL_PREDICTION_ARXIV_RUN]/arxiv/query.json; [MAIN_SGHA_UNCERTAINTY_CALIBRATION_CONFORMAL_PREDICTION_ARXIV_RUN]/arxiv/papers_manifest.json,False
